City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,Sayyan,15.1718,44.3244,44.71,57,19,4.16,YE,2021-01-10 05:13:15
79,Porto-Vecchio,41.591,9.2795,46.4,93,75,12.66,FR,2021-01-10 05:13:15
80,Lichuan,30.3,108.85,36.41,81,99,0.76,CN,2021-01-10 05:13:15
81,Soria,41.6667,-2.6667,22.62,97,100,1.92,ES,2021-01-10 05:13:15
82,Saldanha,-33.0117,17.9442,64.4,72,36,9.22,ZA,2021-01-10 05:13:15
83,Palmas,-10.2128,-48.3603,69.8,100,75,2.3,BR,2021-01-10 05:13:15
84,Pacific Grove,36.6177,-121.9166,48.2,66,1,9.22,US,2021-01-10 05:13:11
85,Barrow,71.2906,-156.7887,5.0,78,90,3.27,US,2021-01-10 05:13:15
86,Bluff,-46.6,168.3333,57.99,82,96,21.99,NZ,2021-01-10 05:13:16
87,Atuona,-9.8,-139.0333,78.04,78,8,16.64,PF,2021-01-10 05:13:16
88,Hobart,-42.8794,147.3294,73.99,60,75,17.27,AU,2021-01-10 05:12:18
89,Bengkulu,-3.8004,102.2655,84.49,63,99,7.81,ID,2021-01-10 05:13:16
90,Straseni,47.1414,28.6103,26.6,100,20,1.14,MD,2021-01-10 05:13:16
91,Vaini,-21.2,-175.2,82.4,83,75,5.75,TO,2021-01-10 05:13:16
92,Yantal,56.8471,105.2542,0.82,89,100,8.12,RU,2021-01-10 05:13:16
93,Tuatapere,-46.1333,167.6833,57.99,82,90,21.99,NZ,2021-01-10 05:13:16
94,Ilulissat,69.2167,-51.1,19.4,49,40,12.66,GL,2021-01-10 05:13:16
95,Yellowknife,62.456,-114.3525,8.6,85,1,11.5,CA,2021-01-10 05:13:17
96,Kaitangata,-46.2817,169.8464,64.99,52,90,15.99,NZ,2021-01-10 05:13:17
97,Port Lincoln,-34.7333,135.8667,84.67,29,75,17.02,AU,2021-01-10 05:13:17
98,Havoysund,70.9963,24.6622,21.2,63,1,17.27,NO,2021-01-10 05:12:11
99,New Norfolk,-42.7826,147.0587,78.01,33,59,4.0,AU,2021-01-10 05:13:17
100,Batticaloa,7.7102,81.6924,76.71,88,100,7.9,LK,2021-01-10 05:13:17
101,Talnakh,69.4865,88.3972,-23.03,75,0,3.42,RU,2021-01-10 05:13:17
102,Mount Isa,-20.7333,139.5,95.0,34,40,6.91,AU,2021-01-10 05:13:17
103,Nuuk,64.1835,-51.7216,28.4,93,90,8.03,GL,2021-01-10 05:11:17
104,Jumla,29.2747,82.1838,55.72,27,63,3.71,NP,2021-01-10 05:13:18
105,Stratford-Upon-Avon,52.1917,-1.7073,30.99,99,17,3.0,GB,2021-01-10 05:13:18
106,Galesong,-5.3166,119.3661,86.0,74,40,10.36,ID,2021-01-10 05:13:18
107,Guilin,25.2819,110.2864,46.4,25,90,8.95,CN,2021-01-10 05:13:18
108,Rawson,-43.3002,-65.1023,68.85,31,100,22.12,AR,2021-01-10 05:13:18
109,Ancud,-41.8697,-73.8203,53.01,87,20,11.5,CL,2021-01-10 05:13:18
110,Fairbanks,64.8378,-147.7164,6.8,78,75,1.95,US,2021-01-10 05:10:10
111,Byron Bay,-28.65,153.6167,79.0,53,40,14.97,AU,2021-01-10 05:09:36
112,Chokurdakh,70.6333,147.9167,-24.23,87,100,3.74,RU,2021-01-10 05:13:19
113,Tura,25.5198,90.2201,75.99,40,14,3.65,IN,2021-01-10 05:13:19
114,Zhigansk,66.7697,123.3711,-29.38,84,100,4.9,RU,2021-01-10 05:13:19
115,Bonthe,7.5264,-12.505,78.04,87,5,4.99,SL,2021-01-10 05:13:19
116,Olinda,-8.0089,-34.8553,77.0,73,20,3.44,BR,2021-01-10 05:12:07
117,Vostok,46.4856,135.8833,-8.37,83,100,5.21,RU,2021-01-10 05:13:19
118,Tiksi,71.6872,128.8694,-22.43,87,100,5.59,RU,2021-01-10 05:13:20
119,Arraial Do Cabo,-22.9661,-42.0278,76.35,91,18,15.41,BR,2021-01-10 05:13:20
120,North Platte,41.1239,-100.7654,33.8,69,90,3.44,US,2021-01-10 05:08:43
121,Nelson Bay,-32.7167,152.15,80.01,64,22,14.97,AU,2021-01-10 05:13:20
122,Faya,18.3851,42.4509,48.2,61,40,4.61,SA,2021-01-10 05:10:43
123,Inhambane,-23.865,35.3833,79.45,71,38,4.34,MZ,2021-01-10 05:13:20
124,Port Hardy,50.6996,-127.4199,41.0,87,90,28.77,CA,2021-01-10 05:13:20
125,Sitka,57.0531,-135.33,44.6,57,90,18.41,US,2021-01-10 05:13:20
126,Verin,41.9415,-7.4381,30.11,94,22,3.65,ES,2021-01-10 05:13:21
127,Vila Franca Do Campo,37.7167,-25.4333,50.0,71,40,2.3,PT,2021-01-10 05:13:21
128,Galle,6.0367,80.217,79.43,78,99,8.59,LK,2021-01-10 05:13:21
129,Longyearbyen,78.2186,15.6401,28.4,74,75,16.11,SJ,2021-01-10 05:13:21
130,Geraldton,-28.7667,114.6,80.6,54,40,21.85,AU,2021-01-10 05:13:22
131,Kudahuvadhoo,2.6708,72.8944,81.73,68,100,7.74,MV,2021-01-10 05:13:22
132,Zemen,42.4789,22.7492,37.0,95,99,3.98,BG,2021-01-10 05:13:22
133,Litomysl,49.8681,16.313,28.99,95,96,1.7,CZ,2021-01-10 05:13:22
134,Gaya,24.7833,85.0,75.2,53,77,11.5,IN,2021-01-10 05:13:22
135,Vardo,70.3705,31.1107,20.16,94,100,17.87,NO,2021-01-10 05:13:22
136,Alta,69.9689,23.2717,17.6,67,20,13.8,NO,2021-01-10 05:13:22
137,Yakima,46.4665,-120.6678,36.0,93,90,1.54,US,2021-01-10 05:13:22
138,Bethel,41.3712,-73.414,30.0,59,1,13.8,US,2021-01-10 05:11:12
139,Wakkanai,45.4094,141.6739,19.4,86,90,9.22,JP,2021-01-10 05:13:23
140,Tual,-5.6667,132.75,83.64,77,94,8.72,ID,2021-01-10 05:13:23
141,Sungaipenuh,-2.0833,101.3833,72.34,81,100,1.74,ID,2021-01-10 05:13:23
142,Suntar,62.1444,117.6319,-27.85,84,84,3.76,RU,2021-01-10 05:13:23
143,Cape Town,-33.9258,18.4232,66.99,68,20,20.71,ZA,2021-01-10 05:10:30
144,Atikokan,48.7555,-91.6216,13.96,97,78,3.67,CA,2021-01-10 05:13:23
145,Taoudenni,22.6783,-3.9836,62.28,38,0,13.0,ML,2021-01-10 05:13:24
146,Meru,0.0463,37.6559,63.27,65,81,1.59,KE,2021-01-10 05:13:24
147,Grindavik,63.8424,-22.4338,23.0,80,75,8.05,IS,2021-01-10 05:13:24
